repo,url,stars,year,has_package_swift,description,language,topics,archived,open_issues,iOS,macOS,watchOS,tvOS,visionOS,platform_count
nicklockwood/SwiftFormat,https://github.com/nicklockwood/SwiftFormat.git,8472.0,2025.0,True,A command-line tool and Xcode Extension for formatting Swift code,Swift,,False,311.0,,,,,,0
Nike-Inc/Willow,https://github.com/Nike-Inc/Willow.git,1367.0,2025.0,True,"Willow is a powerful, yet lightweight logging library written in Swift.",Swift,,False,10.0,10.0,,3.0,10.0,,3
nmdias/FeedKit,https://github.com/nmdias/FeedKit.git,1274.0,2025.0,True,"FeedKit is a Swift library for Reading and Generating RSS, Atom, and JSON feeds.",Swift,"rss, atom, swift, rss-reader, atom-feed-parser, atom-reader, rss-feed-parser, feed-parser, feedkit, parsing",False,3.0,15.0,12.0,8.0,15.0,1.0,5
NordicSemiconductor/IOS-DFU-Library,https://github.com/NordicSemiconductor/IOS-DFU-Library.git,560.0,2025.0,True,"OTA DFU Library for Mac and iOS, compatible with nRF5x SoCs",Swift,"dfu, ota, nrf51, nrf52, ble, bluetooth-low-energy, bluetooth, bluetooth-le, bluetoothsmart",False,20.0,12.0,,4.0,12.0,,3
nytimes/NYTPhotoViewer,https://github.com/nytimes/NYTPhotoViewer.git,2876.0,2025.0,True,A modern photo viewing experience for iOS.,Objective-C,,False,80.0,9.0,,,,,1
objectbox/objectbox-swift,https://github.com/objectbox/objectbox-swift.git,540.0,2025.0,True,"Swift database - fast, simple and lightweight (iOS, macOS)",Swift,"ios, database, edge, embedded, mobile, nosql, swift, local, offline-first, storage, sustainable, sync",False,17.0,12.0,,,,,1
onevcat/fengniao,https://github.com/onevcat/fengniao.git,3491.0,2025.0,True,A command line tool for cleaning unused resources in Xcode.,Swift,"command-line-tool, resources, slim, xcode, images, cleanup, swift",False,28.0,,,,,,0
onevcat/Kingfisher,https://github.com/onevcat/Kingfisher.git,23972.0,2025.0,True,"A lightweight, pure-Swift library for downloading and caching images from the web.",Swift,"swift, kingfisher, image, cache, filters, image-processor, xcode, ios, macos",False,162.0,13.0,,6.0,13.0,,3
onevcat/Rainbow,https://github.com/onevcat/Rainbow.git,1894.0,2025.0,True,Delightful console output for Swift developers.,Swift,"swift, console, log, output",False,1.0,,,,,,0
open-meteo/open-meteo,https://github.com/open-meteo/open-meteo.git,3467.0,2025.0,True,Free Weather Forecast API for non-commercial use,Swift,"weather-api, weather, weather-forecast",False,128.0,,15.0,,,,1
openid/AppAuth-iOS,https://github.com/openid/AppAuth-iOS.git,1902.0,2025.0,True,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,Objective-C,"oauth2, openid-connect, ios-sdk",False,227.0,12.0,,2.0,9.0,,3
OpenSwiftUIProject/OpenSwiftUI,https://github.com/OpenSwiftUIProject/OpenSwiftUI.git,1568.0,2025.0,True,[WIP] Open source implementation of Apple's SwiftUI.,Swift,,False,15.0,,,,,,0
